language,prompt_name,prompt_type,is_reasoning,combined_prompt_type,is_preamble,input_text,bleu_1gram,bleu_2gram,bleu_3gram,bleu_4gram,avg_bleu
Spanish,preamble4,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.7272727272727273,0.38138503569823695,0.11989469854294778,0.06704226838163331,0.32389868247388637
Spanish,preamble1,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.6363636363636364,0.35675303400633784,0.24528028241536293,0.11530568323789493,0.338425659005808
French,preamble5,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.7,0.6236095644623235,0.5825088500130399,0.537284965911771,0.6108508450967836
Spanish,preamble3,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.21428571428571425,0.17708440083028656,0.13569667903614568,0.08812300886896203,0.15379745075527715
French,preamble4,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.7,0.6236095644623235,0.5825088500130399,0.537284965911771,0.6108508450967836
French,preamble1,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.7,0.557773351022717,0.43050908928275344,0.32466791547509893,0.5032375889451424
French,preamble3,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.5,0.4767312946227961,0.45325271466910305,0.4172261448611506,0.4618025385382625
Spanish,preamble2,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.13559322033898305,0.0683785659951358,0.020970485741385398,0.011001306734513518,0.05898589470250444
Spanish,preamble5,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.1076923076923077,0.05801193511153214,0.018202836630990957,0.009634420923548383,0.04838537508959479
French,karthik_2_generate_knowledge,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.46153846153846156,0.3922322702763681,0.3071983684320824,0.22997519112894443,0.34773607284396413
French,preamble2,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.6363636363636364,0.504524979109513,0.38756311218730594,0.28997844147152074,0.454607542282994
Spanish,karthik_2_generate_knowledge,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.391304347826087,0.3772167680771589,0.36567901563048016,0.3453786557868503,0.3698946968301441
Hindi,preamble4,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.3333333333333333,0.30151134457776363,0.26648962915429364,0.21200626759025185,0.2783351436639106
Spanish,karthik_3_self_consistency,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.11428571428571427,0.09968895725584537,0.08571541084929643,0.06463237196781131,0.09108061358966683
French,karthik_5_chain_of_thought,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.5,0.30151134457776363,0.21200222253455905,0.10025157431478134,0.27844128535677604
Hindi,preamble1,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.3333333333333333,0.30151134457776363,0.26648962915429364,0.21200626759025185,0.2783351436639106
Hindi,preamble5,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.14814814814814814,0.13074409009212268,0.11346404441771861,0.08688218206838484,0.11980961618159357
French,karthik_3_self_consistency,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.5454545454545454,0.40451991747794525,0.2664896291542936,0.12278260149096115,0.33481167339443635
Spanish,karthik_5_chain_of_thought,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.8181818181818182,0.7567874686642695,0.6853033716639876,0.587728372510532,0.7120002577551519
Hindi,preamble2,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.3333333333333333,0.30151134457776363,0.26648962915429364,0.21200626759025185,0.2783351436639106
Hindi,karthik_2_generate_knowledge,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.19047619047619047,0.1690308509457033,0.14716643028401583,0.11369306152454814,0.15509163330761444
Hindi,preamble3,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.14814814814814814,0.13074409009212268,0.11346404441771861,0.08688218206838484,0.11980961618159357
French,karthik_4_meta_prompt,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.3333333333333333,0.28867513459481287,0.2633669641490074,0.23253775401768095,0.2794782965237086
Spanish,karthik_4_meta_prompt,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.3043478260869566,0.2037203384166269,0.12812395299555493,0.056066684111954215,0.17306470040277316
Spanish,karthik_1_tree_of_thoughts,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.5454545454545454,0.33028912953790823,0.10903607180699514,0.06238986072117501,0.26179240188015596
French,karthik_1_tree_of_thoughts,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.5833333333333334,0.46056618647183833,0.40292365707340405,0.3448444257953326,0.4479169006684771
Chinese,karthik_2_generate_knowledge,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.4,0.21081851067789192,0.08428689847931439,0.05307712171072445,0.18704563271698268
Chinese,preamble4,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.05263157894736841,0.043163233677515025,0.038052508273113385,0.03079353511079755,0.04116021400219859
Chinese,karthik_5_chain_of_thought,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.75,0.5669467095138409,0.3806693978654565,0.18092176081223305,0.4696344670478826
Chinese,preamble2,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.17647058823529413,0.14625448482542613,0.1287426926641105,0.10665089166351972,0.13952966434708763
Hindi,karthik_5_chain_of_thought,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.2727272727272727,0.2335496832484569,0.18545147779376364,0.09329460218997072,0.19625575898986602
Spanish,preamble5,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.5555555555555556,0.5270462766947299,0.49543631365378615,0.44632361378533286,0.5060904399223511
Hindi,karthik_1_tree_of_thoughts,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.4,0.36514837167011077,0.3254992452916931,0.2626909894424158,0.33833465160105497
