language,prompt_name,prompt_type,is_reasoning,combined_prompt_type,is_preamble,input_text,bleu_1gram,bleu_2gram,bleu_3gram,bleu_4gram,avg_bleu
Spanish,preamble6,Few-Shot,False,Few-Shot,True,large stone birdbath with birds on it,0.6333861926251716,0.5046941987886602,0.30989386484117676,0.13891604988474274,0.39672257653493787
Spanish,preamble4,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.6666666666666666,0.5504818825631803,0.49839100664976926,0.44833867003844585,0.5409695564795155
Spanish,preamble1,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.8181818181818182,0.7006490497453707,0.6513140217716181,0.6076795808137692,0.6944561176281441
French,preamble5,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.7,0.6236095644623235,0.5825088500130399,0.537284965911771,0.6108508450967836
French,preamble4,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.7,0.6236095644623235,0.5825088500130399,0.537284965911771,0.6108508450967836
French,preamble1,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.7,0.557773351022717,0.43050908928275344,0.32466791547509893,0.5032375889451424
Spanish,preamble3,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.1230769230769231,0.07595545253127502,0.05844218274062023,0.0414575770873913,0.0747330338590524
Spanish,karthik_2_generate_knowledge,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.42857142857142855,0.41403933560541256,0.40192139296044693,0.38091370416670794,0.406361465325999
French,preamble3,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.5,0.4767312946227961,0.45325271466910305,0.4172261448611506,0.4618025385382625
French,karthik_2_generate_knowledge,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.25,0.1825741858350554,0.0637276250977716,0.036787632499277766,0.13327236085802618
French,preamble2,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.6363636363636364,0.504524979109513,0.38756311218730594,0.28997844147152074,0.454607542282994
Spanish,preamble5,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.09302325581395347,0.06616316935788492,0.04852153065504537,0.03347544081505507,0.060295849160484714
French,preamble6,Few-Shot,False,Few-Shot,True,large stone birdbath with birds on it,0.7,0.6236095644623235,0.5825088500130399,0.537284965911771,0.6108508450967836
French,karthik_3_self_consistency,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.5454545454545454,0.4670993664969138,0.42107563243008606,0.3672056269893592,0.4502087928427262
French,karthik_5_chain_of_thought,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.5,0.4767312946227961,0.45325271466910305,0.4172261448611506,0.4618025385382625
Spanish,karthik_5_chain_of_thought,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.5833333333333334,0.39886201760873286,0.11927322713332625,0.06484115071397646,0.2915774321973423
Spanish,karthik_4_meta_prompt,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.4,0.2513123449750173,0.07242711666242087,0.037903259135181486,0.1904106801931549
Spanish,karthik_3_self_consistency,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.15217391304347827,0.11630378346515295,0.08715502898769457,0.061492781423641195,0.10428137672999174
Spanish,preamble2,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.0374331550802139,0.02006257819606612,0.006330070977091716,0.003297584881927263,0.01678084728382475
Chinese,preamble4,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.0588235294117647,0.04826639337239525,0.042526105649830254,0.03447080597956223,0.046021708603388105
Chinese,preamble5,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.033707865168539325,0.03085773130079696,0.0288829036940099,0.02467968594531086,0.029532046527164263
Chinese,preamble6,Few-Shot,False,Few-Shot,True,large stone birdbath with birds on it,0.12727272727272726,0.10855649121315493,0.09844679603557177,0.0846356642331394,0.10472791968864834
Chinese,preamble2,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.09677419354838708,0.07966083578064745,0.07006186731393811,0.057267658485676935,0.0759411387821624
Spanish,karthik_1_tree_of_thoughts,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.6333861926251716,0.35687269038897307,0.11531162165292191,0.06568934426718102,0.2928149622335619
Chinese,preamble1,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.0504201680672269,0.046221724323728626,0.043149614209960455,0.037072973459897206,0.0442161200152033
Chinese,karthik_5_chain_of_thought,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.6666666666666666,0.408248290463863,0.13624724651304662,0.07936880926086218,0.3226327532261096
Chinese,karthik_2_generate_knowledge,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.19512195121951223,0.18478728707195913,0.17690584054038935,0.1621452786919851,0.17974008938096148
Chinese,karthik_4_meta_prompt,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.4,0.2981423969999719,0.22651656746142707,0.1122444464861146,0.25922585273687837
French,karthik_4_meta_prompt,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.2857142857142857,0.26726124191242434,0.2503046150278931,0.22374677077485583,0.25675672835736474
Chinese,karthik_3_self_consistency,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.13725490196078435,0.11715583722580125,0.1062427456752944,0.09147827112247602,0.11303293899608902
Chinese,preamble3,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.06666666666666667,0.050636968354183326,0.04346727448233666,0.034786626297783826,0.048889383950242615
Hindi,preamble4,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.3333333333333333,0.30151134457776363,0.26648962915429364,0.21200626759025185,0.2783351436639106
Hindi,preamble1,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.3333333333333333,0.30151134457776363,0.26648962915429364,0.21200626759025185,0.2783351436639106
Hindi,preamble2,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.3333333333333333,0.30151134457776363,0.26648962915429364,0.21200626759025185,0.2783351436639106
Hindi,preamble6,Few-Shot,False,Few-Shot,True,large stone birdbath with birds on it,0.18181818181818182,0.13483997249264845,0.06036431606009924,0.03986357128268015,0.10422151041340241
French,karthik_1_tree_of_thoughts,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.08421052631578946,0.06692744814102546,0.05942637508932478,0.05006448472263961,0.06515720856719483
