"id","human_value"
"1","<image>\nDescribe the image concisely."
"2","<image>\nGive a brief description of the image."
"3","<image>\nGive a short and clear explanation of the subsequent image."
"4","<image>\nPresent a compact description of the photo's key features."
"5","<image>\nProvide a brief description of the given image."
"6","<image>\nRender a clear and concise summary of the photo."
"7","<image>\nShare a concise interpretation of the image provided."
"8","<image>\nSummarize the visual content of the image."
"9","<image>\nWhat is in the photo?"
"10","<image>\nWhat is this?"
"11","<image>\nWrite a terse but informative summary of the picture."
"12","Describe the image concisely.\n<image>"
"13","Give a brief description of the image.\n<image>"
"14","Give a short and clear explanation of the subsequent image.\n<image>"
"15","Present a compact description of the photo's key features.\n<image>"
"16","Provide a brief description of the given image.\n<image>"
"17","Render a clear and concise summary of the photo.\n<image>"
"18","Share a concise interpretation of the image provided.\n<image>"
"19","Summarize the visual content of the image.\n<image>"
"20","What is in the photo?\n<image>"
"21","What is this?\n<image>"
"22","Write a terse but informative summary of the picture.\n<image>"
